Date,Open,High,Low,Close
2026-03-25 06:00:00,4386.38171,4410.68862,4386.38171,4399.4287
2026-03-25 07:00:00,4399.59355,4481.40345,4396.84803,4474.51182
2026-03-25 08:00:00,4474.54883,4474.77488,4474.25123,4474.60057
2026-03-25 09:00:00,4474.54421,4487.7283,4457.01456,4482.44907
2026-03-25 10:00:00,4482.48278,4549.02089,4475.02625,4544.89644
2026-03-25 11:00:00,4545.08551,4571.38654,4534.67652,4563.65419
2026-03-25 12:00:00,4563.8568,4600.29708,4556.04369,4596.65435
2026-03-25 13:00:00,4597.17624,4602.63009,4581.81562,4582.8528
2026-03-25 14:00:00,4583.14684,4586.16903,4568.76452,4569.28584
2026-03-25 15:00:00,4569.36714,4575.09411,4566.7968,4572.61504
2026-03-25 16:00:00,4572.52847,4573.96469,4551.23236,4557.60212
2026-03-25 17:00:00,4557.58979,4557.64711,4535.63816,4544.92159
2026-03-25 18:00:00,4544.91142,4563.67062,4537.54451,4539.01629
2026-03-25 19:00:00,4538.9004,4568.25588,4538.58001,4556.29475
2026-03-25 20:00:00,4556.20645,4566.58026,4532.34288,4550.44623
2026-03-25 21:00:00,4550.08961,4563.61008,4550.08961,4559.20445
2026-03-25 22:00:00,4559.25414,4584.98184,4557.56206,4577.55051
2026-03-25 23:00:00,4578.13136,4586.24188,4531.60194,4547.12145
2026-03-26 00:00:00,4547.07277,4575.87674,4541.65645,4546.17188
2026-03-26 01:00:00,4546.00667,4577.40473,4537.65723,4566.39516
2026-03-26 02:00:00,4566.42745,4566.48787,4528.40787,4560.76341
2026-03-26 03:00:00,4560.8839,4563.01731,4546.31736,4555.98941
2026-03-26 04:00:00,4555.94816,4563.06327,4544.06952,4551.39396
2026-03-26 05:00:00,4551.2172,4562.69588,4533.30468,4538.46512
2026-03-26 06:00:00,4538.37704,4538.44149,4490.76269,4531.47513
2026-03-26 07:00:00,4531.38161,4540.74886,4499.66907,4506.29133
2026-03-26 08:00:00,4506.22471,4506.88035,4506.02637,4506.62534
2026-03-26 09:00:00,4507.85593,4536.41685,4506.53447,4517.9929
2026-03-26 10:00:00,4518.12736,4518.12736,4489.0392,4498.38644
2026-03-26 11:00:00,4498.24254,4537.8741,4498.24254,4535.01286
2026-03-26 12:00:00,4534.73179,4546.06827,4524.47849,4534.08475
2026-03-26 13:00:00,4534.21492,4535.65917,4507.35989,4508.17201
2026-03-26 14:00:00,4508.12837,4518.15433,4503.22023,4515.73227
2026-03-26 15:00:00,4515.74698,4524.04796,4512.5317,4520.891
2026-03-26 16:00:00,4520.81582,4521.45673,4445.38272,4445.38272
2026-03-26 17:00:00,4445.47305,4458.34655,4418.00769,4455.44522
2026-03-26 18:00:00,4455.14853,4463.44176,4442.06208,4454.45692
2026-03-26 19:00:00,4454.3765,4459.7403,4416.64183,4430.24369
2026-03-26 20:00:00,4430.77575,4433.45334,4416.74086,4421.67604
2026-03-26 21:00:00,4421.90552,4446.8286,4415.7574,4441.42254
2026-03-26 22:00:00,4441.05442,4452.3158,4421.96342,4422.61293
2026-03-26 23:00:00,4422.77131,4444.33539,4420.96394,4431.23755
2026-03-27 00:00:00,4430.96102,4461.9397,4428.26239,4444.83462
2026-03-27 01:00:00,4445.69823,4483.21906,4438.32755,4464.40666
2026-03-27 02:00:00,4464.30741,4466.62963,4435.36777,4437.44462
2026-03-27 03:00:00,4437.4349,4441.5877,4358.34529,4389.60148
2026-03-27 04:00:00,4389.56172,4401.20329,4377.42045,4382.08969
2026-03-27 05:00:00,4381.99254,4397.18152,4371.36544,4394.00289
2026-03-27 06:00:00,4393.6378,4398.65298,4359.46535,4362.63551
2026-03-27 07:00:00,4362.52539,4417.81991,4352.84304,4377.53433
2026-03-27 08:00:00,4377.24518,4380.39646,4377.24518,4380.0676
2026-03-27 09:00:00,4379.02683,4415.4012,4379.02683,4407.6903
2026-03-27 10:00:00,4407.4672,4412.21296,4392.18611,4405.11254
2026-03-27 11:00:00,4405.50569,4410.83046,4378.8413,4379.31558
2026-03-27 12:00:00,4379.90558,4420.16175,4379.29937,4417.83372
2026-03-27 13:00:00,4418.05005,4440.1411,4417.74165,4431.61329
2026-03-27 14:00:00,4431.68322,4442.23073,4421.2939,4437.12173
2026-03-27 15:00:00,4436.91234,4449.26601,4431.8961,4449.00342
2026-03-27 16:00:00,4448.73589,4474.51937,4440.16754,4455.542
2026-03-27 17:00:00,4455.23756,4472.06805,4454.13299,4459.88284
2026-03-27 18:00:00,4459.96073,4460.90274,4444.76264,4446.78937
2026-03-27 19:00:00,4446.81999,4447.99283,4425.64262,4425.64262
2026-03-27 20:00:00,4425.65219,4437.61328,4421.04496,4428.16452
2026-03-27 21:00:00,4428.24024,4433.61078,4409.75535,4414.8116
2026-03-27 22:00:00,4414.84743,4425.37501,4406.69004,4416.74924
2026-03-27 23:00:00,4415.9681,4445.20396,4415.06055,4438.57923
2026-03-28 00:00:00,4438.24067,4442.5062,4413.46109,4429.82188
2026-03-28 01:00:00,4429.75924,4512.00577,4429.28644,4512.00577
2026-03-28 02:00:00,4512.44683,4550.97345,4505.83742,4524.83184
2026-03-28 03:00:00,4524.86448,4533.14479,4505.95337,4514.43734
2026-03-28 04:00:00,4514.44992,4518.03913,4485.99521,4487.64827
2026-03-28 05:00:00,4487.79829,4527.96265,4487.52468,4517.28068
2026-03-28 06:00:00,4517.2086,4525.01845,4501.41416,4514.84071
2026-03-28 07:00:00,4514.75649,4514.81293,4492.13517,4494.17866
2026-03-28 08:00:00,4493.40848,4510.53608,4493.40848,4507.69821
2026-03-28 09:00:00,4507.70101,4507.89695,4507.6366,4507.70796
2026-03-28 10:00:00,4507.69644,4507.89837,4507.63226,4507.73142
2026-03-28 11:00:00,4507.70202,4507.90671,4507.63739,4507.75483
