date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2026-01-05 02:00:00,XRPUSD,SELL,80,2.1572,2.14047,2.14047,2.0747,LOSS,0.7758,0
2026-01-06 02:00:00,XRPUSD,BUY,80,2.37367,2.3186,2.3186,2.44434,LOSS,-2.3201,14
2026-01-08 02:00:00,XRPUSD,SELL,80,2.18269,2.12048,2.20742,2.12048,WIN,2.8502,4
2026-01-12 02:00:00,XRPUSD,SELL,80,2.06428,2.08294,2.08294,2.01835,LOSS,-0.9039,0
2026-01-13 02:00:00,XRPUSD,SELL,95,2.05443,2.08753,2.08753,2.02082,LOSS,-1.6111,12
2026-01-14 02:00:00,XRPUSD,BUY,80,2.17463,2.12583,2.12583,2.22127,LOSS,-2.2442,9
2026-01-16 02:00:00,XRPUSD,SELL,80,2.07753,2.04656,2.10895,2.04656,WIN,1.4906,13
2026-01-19 02:00:00,XRPUSD,SELL,80,1.95334,1.98062,1.98062,1.89958,LOSS,-1.3965,6
2026-01-21 02:00:00,XRPUSD,BUY,80,1.89884,1.88558,1.88558,1.95155,LOSS,-0.6985,10
2026-01-26 02:00:00,XRPUSD,SELL,80,1.88473,1.88092,1.88092,1.81564,LOSS,0.2024,0
2026-01-27 02:00:00,XRPUSD,SELL,80,1.90626,1.93009,1.93009,1.86908,LOSS,-1.2498,31
2026-01-30 02:00:00,XRPUSD,SELL,80,1.75563,1.75618,1.83062,1.75618,WIN,-0.0316,0
2026-01-31 02:00:00,XRPUSD,BUY,80,1.74681,1.6978,1.6978,1.78941,LOSS,-2.8057,6
2026-02-01 02:00:00,XRPUSD,BUY,80,1.66076,1.60291,1.60291,1.74625,LOSS,-3.4833,12
2026-02-02 02:00:00,XRPUSD,SELL,80,1.60236,1.54555,1.64917,1.54555,WIN,3.5456,1
2026-02-05 02:00:00,XRPUSD,SELL,80,1.47424,1.43178,1.53547,1.43178,WIN,2.88,3
2026-02-06 02:00:00,XRPUSD,SELL,80,1.2808,1.30714,1.30714,1.10022,LOSS,-2.0568,3
2026-02-07 02:00:00,XRPUSD,BUY,80,1.46775,1.39507,1.39507,1.5426,LOSS,-4.9516,8
2026-02-11 02:00:00,XRPUSD,SELL,80,1.41059,1.37948,1.43279,1.37948,WIN,2.2056,3
2026-02-14 02:00:00,XRPUSD,BUY,80,1.41206,1.44555,1.39104,1.44555,WIN,2.3717,6
2026-02-15 02:00:00,XRPUSD,BUY,80,1.52808,1.55664,1.49613,1.55664,WIN,1.8689,2
2026-02-19 02:00:00,XRPUSD,SELL,80,1.42713,1.38665,1.44046,1.38665,WIN,2.8363,11
2026-02-23 02:00:00,XRPUSD,SELL,80,1.33296,1.34374,1.38105,1.34374,WIN,-0.8084,0
2026-02-26 02:00:00,XRPUSD,SELL,80,1.42405,1.3926,1.47481,1.3926,WIN,2.2084,14
2026-02-28 02:00:00,XRPUSD,BUY,80,1.35855,1.34362,1.34362,1.38734,LOSS,-1.0988,4
2026-03-05 02:00:00,XRPUSD,SELL,80,1.41923,1.38488,1.45856,1.38488,WIN,2.4204,34
2026-03-07 02:00:00,XRPUSD,BUY,80,1.36779,1.34994,1.34994,1.39261,LOSS,-1.3048,17
2026-03-08 02:00:00,XRPUSD,BUY,80,1.35698,1.34451,1.34451,1.36866,LOSS,-0.9192,2
2026-03-09 02:00:00,XRPUSD,SELL,80,1.34169,1.36753,1.36753,1.32457,LOSS,-1.9261,11
2026-03-10 02:00:00,XRPUSD,BUY,80,1.3726,1.39449,1.35121,1.39449,WIN,1.5947,6
2026-03-12 02:00:00,XRPUSD,SELL,80,1.37827,1.40326,1.40326,1.359,LOSS,-1.8131,22
2026-03-16 02:00:00,XRPUSD,BUY,80,1.44677,1.47335,1.4264,1.47335,WIN,1.8374,1
2026-03-17 02:00:00,XRPUSD,BUY,80,1.57117,1.58258,1.51751,1.58258,WIN,0.7263,0
2026-03-18 02:00:00,XRPUSD,SELL,80,1.51594,1.53789,1.53789,1.48548,LOSS,-1.4482,1
2026-03-19 02:00:00,XRPUSD,BUY,80,1.46146,1.4363,1.4363,1.4934,LOSS,-1.7217,10
