date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2026-03-18 12:00:00,USDJPY,SELL,80,159.08042,158.61929,159.13806,158.61929,WIN,0.2899,5
2026-03-19 12:00:00,USDJPY,BUY,80,159.79071,159.55409,159.55409,160.15686,LOSS,-0.1481,6
2026-03-20 12:00:00,USDJPY,SELL,80,157.85839,158.3576,158.3576,157.36444,LOSS,-0.3162,2
2026-03-21 12:00:00,USDJPY,BUY,80,159.24053,159.46705,158.81663,159.46705,WIN,0.1422,41
2026-03-24 12:00:00,USDJPY,SELL,80,158.57627,159.01461,159.01461,157.81744,LOSS,-0.2764,16
2026-03-25 12:00:00,USDJPY,SELL,80,158.66142,159.05761,159.05761,158.26488,LOSS,-0.2497,6
2026-03-26 12:00:00,USDJPY,BUY,80,159.45747,159.68343,159.1854,159.68343,WIN,0.1417,11
2026-03-27 12:00:00,USDJPY,SELL,80,159.56436,159.96992,159.96992,159.40723,LOSS,-0.2542,6
2026-03-28 12:00:00,USDJPY,BUY,80,160.31947,159.94921,159.94921,160.55375,LOSS,-0.2309,12
2026-04-01 12:00:00,USDJPY,SELL,80,158.77073,158.93058,158.93058,158.08615,LOSS,-0.1007,0
2026-04-05 12:00:00,USDJPY,SELL,80,159.64287,159.52561,159.69326,159.52561,WIN,0.0735,12
2026-04-08 12:00:00,USDJPY,SELL,80,158.41414,158.24686,158.99367,158.24686,WIN,0.1056,3
2026-04-10 12:00:00,USDJPY,BUY,80,159.0601,158.91609,158.91609,159.56912,LOSS,-0.0905,64
2026-04-20 12:00:00,USDJPY,BUY,80,158.86159,158.63726,158.63726,159.47421,LOSS,-0.1412,11
2026-04-21 12:00:00,USDJPY,BUY,80,158.95645,159.27738,158.72774,159.27738,WIN,0.2019,12
2026-04-24 12:00:00,USDJPY,BUY,80,159.76365,159.56316,159.56316,160.10333,LOSS,-0.1255,9
2026-04-25 12:00:00,USDJPY,SELL,80,159.34099,159.01813,159.58742,159.01813,WIN,0.2026,33
2026-05-03 12:00:00,USDJPY,BUY,80,157.07535,156.93645,156.93645,157.27651,LOSS,-0.0884,9
2026-05-04 12:00:00,USDJPY,SELL,80,157.04866,157.36546,157.36546,156.32759,LOSS,-0.2017,1
