date,symbol,signal,score,entry,exit,sl,tp,outcome,pnl_pct,bars_held
2026-01-30 15:00:00,EURUSD,SELL,80,1.1921,1.1951,1.1951,1.18721,LOSS,-0.2517,8
2026-01-31 15:00:00,EURUSD,SELL,80,1.18609,1.18283,1.18804,1.18283,WIN,0.2746,57
2026-02-01 15:00:00,EURUSD,BUY,80,1.18547,1.1852,1.1852,1.1859,LOSS,-0.0225,7
2026-02-03 15:00:00,EURUSD,BUY,80,1.18115,1.18334,1.17776,1.18334,WIN,0.1854,24
2026-02-07 15:00:00,EURUSD,SELL,80,1.18085,1.18244,1.18244,1.17892,LOSS,-0.1343,22
2026-02-09 12:00:00,EURUSD,BUY,80,1.18303,1.18212,1.18212,1.18342,LOSS,-0.0768,1
2026-02-10 12:00:00,EURUSD,SELL,80,1.1902,1.19243,1.19243,1.18764,LOSS,-0.1877,13
2026-02-12 12:00:00,EURUSD,SELL,80,1.18764,1.18415,1.19008,1.18415,WIN,0.2937,68
2026-02-13 12:00:00,EURUSD,SELL,80,1.18722,1.18858,1.18858,1.1847,LOSS,-0.1148,12
2026-02-17 12:00:00,EURUSD,SELL,80,1.18445,1.18381,1.18596,1.18381,WIN,0.0537,4
2026-02-19 12:00:00,EURUSD,SELL,80,1.17901,1.18055,1.18055,1.17661,LOSS,-0.1302,8
2026-02-20 12:00:00,EURUSD,BUY,80,1.17699,1.175,1.175,1.17941,LOSS,-0.1691,6
2026-02-23 12:00:00,EURUSD,BUY,80,1.183,1.18209,1.18209,1.18498,LOSS,-0.0766,0
2026-02-25 12:00:00,EURUSD,SELL,80,1.17791,1.17871,1.17871,1.17565,LOSS,-0.0679,1
2026-02-26 12:00:00,EURUSD,BUY,80,1.18182,1.18005,1.18005,1.18353,LOSS,-0.1501,8
2026-03-01 12:00:00,EURUSD,BUY,80,1.18164,1.18122,1.18122,1.18222,LOSS,-0.0356,12
2026-03-02 12:00:00,EURUSD,SELL,80,1.17754,1.1785,1.1785,1.17259,LOSS,-0.082,0
2026-03-03 12:00:00,EURUSD,BUY,80,1.16953,1.16655,1.16655,1.17362,LOSS,-0.2545,5
2026-03-08 12:00:00,EURUSD,SELL,80,1.16195,1.16211,1.16211,1.16157,LOSS,-0.0137,8
2026-03-09 12:00:00,EURUSD,SELL,80,1.15182,1.15498,1.15498,1.14899,LOSS,-0.274,4
